data_hora_dispositivo;entradas_4a20 (1);status (1);status (2);timestamp_dispositivo;codigo_produto;rele (1);tipo_sensor;temperatura;pulso (1);pulso (2);timestamp_servidor;dia_sem;sinal;id_dispositivo;umidade;ct_pulso (1);ct_pulso (2);Hidrômetro  (1);Vazão (1);Sonda de nível (1)
2025-03-01 02:16:00;460;0;0;1740806160;25;0;DISABLED;-32768;32157;0;1740806161;Saturday;-87;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:19:00;460;0;0;1740806340;25;0;DISABLED;-32768;32157;0;1740806341;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:22:00;460;0;0;1740806520;25;0;DISABLED;-32768;32157;0;1740806521;Saturday;-90;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:25:00;460;0;0;1740806700;25;0;DISABLED;-32768;32157;0;1740806701;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:28:00;460;0;0;1740806880;25;0;DISABLED;-32768;32157;0;1740806881;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:31:00;460;0;0;1740807060;25;0;DISABLED;-32768;32157;0;1740807061;Saturday;-91;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:34:00;460;0;0;1740807240;25;0;DISABLED;-32768;32157;0;1740807241;Saturday;-88;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:37:00;460;0;0;1740807420;25;0;DISABLED;-32768;32157;0;1740807421;Saturday;-89;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:40:00;460;0;0;1740807600;25;0;DISABLED;-32768;32157;0;1740807601;Saturday;-86;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:43:00;460;0;0;1740807780;25;0;DISABLED;-32768;32157;0;1740807781;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:46:00;460;0;0;1740807960;25;0;DISABLED;-32768;32157;0;1740807961;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:49:00;460;0;0;1740808140;25;0;DISABLED;-32768;32157;0;1740808141;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:52:00;460;0;0;1740808320;25;0;DISABLED;-32768;32157;0;1740808321;Saturday;-87;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:55:00;460;0;0;1740808500;25;0;DISABLED;-32768;32157;0;1740808501;Saturday;-89;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 02:58:00;460;0;0;1740808680;25;0;DISABLED;-32768;32157;0;1740808681;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:01:00;460;0;0;1740808860;25;0;DISABLED;-32768;32157;0;1740808861;Saturday;-79;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:04:00;460;0;0;1740809040;25;0;DISABLED;-32768;32157;0;1740809041;Saturday;-81;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:07:00;460;0;0;1740809220;25;0;DISABLED;-32768;32157;0;1740809221;Saturday;-89;2756562;-32768;0;0;5867.9;0;11.25
